"Comment","Designator","Footprint","LCSC Part #"
".1uF","C1,C21,C25","","C1525"
"1uF","C2,C20","","C52923"
"47uF","C3,C4,C5,C6","","C16780"
"SI5351A","M1","","C504891"
"P-Channel MOSFET - AO3401A","Q1,Q2","","C15127"
"4.7k","R6,R7","","C25900"
"500","R8,R12","","C25123"
"10k","R9,R13","","C25744"
"26MHz","TCXO1","","C3013793"
"Pico","U1","",""
"APX803S-26SA","U2","","C526393"
"GPS ATGM336H-5N31","U4","","C90770"
